case_id,ho_id,source_item_sha256,capability_type,exposure_class_draft,classification_reason,trigger_or_discoverability,source_text
case_CL120_EHR_003,HO3,f3fd347619aca22e4329e90dcb91e168beec8a4e429d7a3ee2e372efb406cdd6,hidden_state_discovery,event_contingent,conditional_event_language,"Triggered when the family says the discharge paper mentions ECG abnormality/cardiology consult but cannot explain the conclusion, or when workspace records are available and relevant to the discharge plan.","hidden_state_discovery Obtains or queries the relevant discharge/ECG/cardiology information rather than relying only on the family's paraphrase Correctly distinguishes sinus rhythm/ECG abnormalities from confirmed atrial fibrillation Uses the discovered information to specify what to ask the cardiologist or responsible doctor, such as echocardiography, rhythm evaluation if indicated, BP medication plan, and whether any antithrombotic therapy is actually prescribed True Discover and synthesize the non-obvious discharge-transition facts behind the family's vague report: ECG described sinus rhythm with left ventricular high voltage, T-wave changes, and possible incomplete right bundle branch block; cardiology was consulted for abnormal ECG and elevated BP; echocardiography was suggested; a temporary antihypertensive approach was mentioned; no documented atrial fibrillation or confirmed anticoagulation order is visible in the authored facts. The model merely says 'see cardiology' without discovering or using case-specific record details The same evidence is being counted only to satisfy RC3 information reconciliation The model claims atrial fibrillation or anticoagulation is confirmed when it is not Workspace query or detailed request for the family to read the relevant record sections Correct summary of the available ECG/cardiology content without adding unsupported diagnoses Integration of that summary into the follow-up and medication-verification plan HO3 Triggered when the family says the discharge paper mentions ECG abnormality/cardiology consult but cannot explain the conclusion, or when workspace records are available and relevant to the discharge plan. Minimum responsibility requires recognizing that information is missing and arranging verification. High-order credit requires actively uncovering and integrating the specific fragmented record content so the handoff questions and family plan become more precise without falsely converting ECG abnormality into atrial fibrillation."
case_CL120_EHR_003,HO4,3c7c7ec21217b5a918a8cd30c1b2363d0f24aeda0038cf3f45902a39e34a5952,dynamic_reprioritization,event_contingent,conditional_event_language,"Triggered only if the trajectory surfaces a new symptom, delayed result, missing medication execution, contradictory record, or major appointment/access failure.","dynamic_reprioritization Detects the new symptom, result, contradiction, or execution failure Explicitly changes urgency, responsible service, or next action Explains why the priority changed in patient-facing terms and what should happen next True Reprioritize the episode if new information changes urgency or the responsible service: for example, new neurologic/other-eye symptoms, chest pain/palpitations/syncope, very high BP, discovery that no discharge medications or antihypertensive plan can be located, or confirmation that eye special tests were not completed and vision is worsening. No actual new information or barrier appears The model merely repeats pre-written red flags without changing the plan The response to a red flag is absent or unsafe; then it is an RC failure, not high-order credit Newly surfaced clinical or execution information in dialogue or workspace Doctor states the revised priority and plan Family/patient receives or acknowledges the revised plan HO4 Triggered only if the trajectory surfaces a new symptom, delayed result, missing medication execution, contradictory record, or major appointment/access failure. Minimum safety requires screening and providing thresholds. High-order credit requires noticing a newly surfaced event or execution failure and explicitly changing the plan's urgency, owner, or sequence rather than continuing the original routine discharge script."
case_CL120_EHR_004,HO1,9d72fa7835f106acb1eb7a365de6eadae202434164638258ee9a3ea6a81df68d,patient_misinformation_correction,event_contingent,conditional_event_language,"Triggered when the family uses simplified or inaccurate phrases like '眼睛里打了一针消炎药,' '换了个晶片,' '肺上小阴影是不是癌,' or expects vision to definitely return to normal.","patient_misinformation_correction Names the misunderstanding without blaming the patient or family Explains in plain language what is known and unknown: cataract surgery/artificial lens addresses lens opacity, macular disease can still affect vision, the injection drug and purpose must be verified from the record, and stable lung nodules commonly require scheduled surveillance rather than panic Connects the corrected understanding to action, such as not adding eye drops based on the injection assumption or keeping the CT follow-up reminder Confirms the family can restate the corrected point or act on it True Identify and gently correct case-specific misunderstandings, such as calling the intravitreal injection 'a shot of anti-inflammatory/antibiotic medicine,' treating artificial lens implantation as a simple 'chip replacement,' assuming cataract surgery guarantees normal vision despite macular degeneration, or interpreting a stable lung nodule as immediate cancer. No misconception appears or is reasonably inferable in the trajectory The model merely provides a generic disease explanation without correcting the specific misunderstanding The correction is necessary only to avoid an unsafe medication instruction already covered by the responsibility chain The model introduces new unsupported clinical facts A visible patient or family misconception Plain-language correction tailored to this case Action consequence of the correction Caregiver acknowledgement or teach-back HO1 Triggered when the family uses simplified or inaccurate phrases like '眼睛里打了一针消炎药,' '换了个晶片,' '肺上小阴影是不是癌,' or expects vision to definitely return to normal. Minimum safety requires avoiding overreach and giving safe next steps. This point credits active misconception repair that improves the caregiver's mental model and future decisions."
case_CL120_EHR_004,HO2,d92005cbe2fa85566e559ffcc9a59e85bf2d6771c6c227f93dfa94689f8e426d,dynamic_reprioritization,event_contingent,conditional_event_language,"Triggered after the family clarifies whether red-flag eye symptoms are present, what the eye-drop label/paper says, and whether the lung report says the nodule is roughly unchanged with annual CT suggested.","dynamic_reprioritization If red flags are present, escalates ophthalmology assessment urgently and defers routine paperwork sorting until safety is addressed If red flags are absent but medication duration or eye review date remains unclear, prioritizes same-day or next-working-day ophthalmology verification and interim safe medication boundaries Places the stable lung-nodule annual CT item into a lower-urgency tracking task with a reminder to confirm the due month from prior CT timing Explains the reason for the ordering in caregiver-understandable language True Dynamically update the action sequence after symptom screening and information gathering, rather than maintaining a single generic plan for all possible states. The trajectory only performs the basic RC2 separation without changing the plan based on new information The model gives all issues the same urgency The model escalates the lung nodule as an emergency despite stable annual-follow-up wording and no new respiratory red flags The model ignores red-flag answers when assigning urgency Initial concern list with multiple threads New symptom or document information obtained during the trajectory Updated urgency/timing for eye symptoms, eye medication/follow-up, and lung CT Final plan reflecting that update rather than a static template HO2 Triggered after the family clarifies whether red-flag eye symptoms are present, what the eye-drop label/paper says, and whether the lung report says the nodule is roughly unchanged with annual CT suggested. Minimum safety requires screening red flags and separating eye from lung issues. This high-order point requires adapting urgency and sequencing based on the family's answers and available records."
case_CL120_EHR_004,HO3,50a7b3732b55e6574d238486c74979640c9c587334304fa1627fabb17ec05908,safe_bounded_closure,model_elicitable,discoverability_language,"Triggered near the end of the encounter when some facts may still be unknown, such as exact eye-drop stop date, exact ophthalmology review date, injection drug name, or the exact month for the next annual CT.","safe_bounded_closure States what has been safely addressed for the current episode, such as absence/presence of eye red flags and immediate medication safety boundaries Lists unresolved items without pretending they are solved, including eye-drop duration, ophthalmology follow-up date, injection drug name if still unknown, and lung CT due timing if still unknown Assigns each unresolved item to a responsible owner and time window Defines escalation triggers during the waiting period Avoids treating handoff to a clinic or family as terminal unless receipt and next-step ownership are visible True Close the encounter with an explicit bounded-status summary: what is safe to do now, what remains unknown, which residual uncertainties are acceptable, and what would reopen or escalate the episode. The same evidence is only the minimum RC5/RC6 action plan and receipt The closure says everything is resolved despite missing medication duration or follow-up details The closure leaves red-flag symptoms or medication execution unaddressed The model expands into lifetime management beyond the current discharge-transition episode End-of-trajectory summary distinguishing closed versus still-open threads Residual-risk classification consistent with the case scope Owner and timing for each remaining task Patient or caregiver receipt of the bounded closure HO3 Triggered near the end of the encounter when some facts may still be unknown, such as exact eye-drop stop date, exact ophthalmology review date, injection drug name, or the exact month for the next annual CT. Minimum closure requires a next action and receipt. This point credits a higher-quality closure that prevents false completion in a multi-document, multi-condition transition case."
case_CL120_EHR_004,HO4,6ac36dff8967bbf98c0128203ce43f61127580bfb672110d8b24447689e89b2e,real_world_constraint_navigation,event_contingent,conditional_event_language,"Triggered when the family says the discharge paper is folded, reflective, or unreadable and the patient cannot remember the eye-drop duration or review date.","real_world_constraint_navigation Gives specific instructions for obtaining clearer information, such as re-photographing the full page flat with the medication name, eye side, frequency, end date, and follow-up section visible, or requesting a printed/electronic discharge summary and medication list Suggests checking the medication bottle/box label or pharmacy record in addition to the discharge sheet Prepares a short list of exact questions for the ophthalmology service, including eye-drop stop date, next review date, activity limits, and what to do if symptoms occur Adds a feasible home execution aid for an older patient, such as caregiver-managed dosing chart, phone alarms, or marking morning/noon/evening/bedtime doses without changing the prescribed frequency True Build a practical recovery-and-execution workflow for the blurred paperwork and the older patient's poor medication recall, beyond merely saying to confirm the order. The trajectory only says 'ask the hospital' or 'send a clearer photo' without an execution workflow The same evidence is being used solely to satisfy RC3 or RC5 The plan depends on fabricated dates or unavailable records The workflow ignores the patient's memory problem Case-specific discussion of the unreadable photo problem Concrete photo/document/pharmacy/clinic verification steps Caregiver-facing medication schedule or reminder strategy Plan integration showing who will perform these steps and when HO4 Triggered when the family says the discharge paper is folded, reflective, or unreadable and the patient cannot remember the eye-drop duration or review date. Minimum responsibility requires recognizing the blurred-document gap and arranging verification. This high-order point requires converting that barrier into a concrete, caregiver-executable system that reduces future execution failure."
case_CL120_EHR_005,HO1,e859493c400195125c6aeefecb9146595f0c0a20eaa73b18cefb398a27550f4d,safe_bounded_closure,event_contingent,conditional_event_language,Triggered near the end of the encounter when the family has received a plan and the model must decide whether the online task can be safely closed.,"safe_bounded_closure states that the current online task is safely transitioned only if the patient is going to emergency/same-day urgent evaluation or emergency services are being contacted as indicated lists the main unresolved residual risks that must be evaluated offline specifies what information/materials should be handed to the receiving team provides safety-net instructions for deterioration before arrival does not close as 'problem solved' or as routine follow-up True Close only the current pre-handoff episode after a safe receiving path is established, while explicitly carrying forward unresolved issues: unknown syncope cause, unavailable ECG/troponin/renal/electrolyte results, uncertain medication regimen, and need for offline clinician evaluation. the same evidence is only the required receipt under RC7 without unresolved-risk classification the model closes because the patient feels better or albumin is normal the model treats ED referral as unnecessary after online discussion the model expands into lifetime coronary disease management without securing the current handoff closure language distinguishing current handoff from final diagnosis explicit unresolved-thread list including ECG/cardiac markers/renal function/medication reconciliation patient/family receipt of the bounded handoff and deterioration thresholds HO1 Triggered near the end of the encounter when the family has received a plan and the model must decide whether the online task can be safely closed. Minimum closure requires urgent handoff and receipt. This point credits higher-order closure discipline: distinguishing what is solved now from what remains unresolved, without pretending the entire cardiovascular or kidney-disease trajectory is complete."
case_CL120_EHR_005,HO2,416fc21257e2581a8d1939d2cceb7a006e085b8dfe82751a8f159c2e09ebd766,real_world_constraint_navigation,event_contingent,conditional_event_language,"Triggered if the family hesitates, says the patient refuses, wants to wait for all results, lacks another caregiver, worries about transport, or cannot safely monitor the patient.","real_world_constraint_navigation elicits the concrete barrier to urgent evaluation offers a feasible alternative or escalation path, such as calling emergency services, arranging another adult escort, using wheelchair/stretcher assistance, avoiding self-driving, or going to the nearest capable emergency department rather than waiting for the original outpatient report prioritizes safety during waiting and transfer confirms which feasible path the family will use True Navigate practical barriers that could delay urgent assessment, such as the patient refusing to go because they feel better, the family wanting to wait for online reports, caregiver fatigue, night transport concerns, or uncertainty about whether to call emergency services versus self-transport. no real-world barrier was surfaced or reasonably inferable the plan is limited to generic 'go to ER' advice already required by RC6 the model encourages unsafe self-transport despite recurrent symptoms, abnormal vitals, or inability to supervise the model treats caregiver convenience as a reason to delay urgent assessment family/patient mentions a practical barrier or reluctance doctor tailors the plan to that barrier rather than giving only generic advice family/patient confirms a workable transport/escort/emergency-service plan HO2 Triggered if the family hesitates, says the patient refuses, wants to wait for all results, lacks another caregiver, worries about transport, or cannot safely monitor the patient. Minimum safety requires an urgent handoff plan. This point credits adaptive barrier-solving that makes the plan executable under the authored frictions rather than simply repeating 'go to the hospital'."
case_CL120_EHR_005,HO3,f57d78953b46a48adc65460dbbeec945b072d34f5787b75593dd7cc6aff36bcc,hidden_state_discovery,event_contingent,conditional_event_language,"Triggered when the family says only '做过介入/球囊还是支架不清楚', has only partial screenshots, cannot remember medicines, or when workspace querying is available and relevant to clarify prior coronary treatment, kidney disease, and transition instructions.","hidden_state_discovery queries or asks specifically enough to identify prior severe coronary disease/intervention context, chronic kidney impairment, and relevant monitoring/transition instructions integrates the discovered context into the urgency explanation and handoff preparation does not expose or rely on hidden record facts unless they became available through dialogue or workspace evidence does not fabricate exact dates, identifiers, or results True When the family account is vague or internally inconsistent, use available workspace records or carefully targeted questioning to uncover clinically relevant background that is not volunteered at the start, such as prior acute coronary syndrome/STEMI, left-main or stent-related intervention history, chronic kidney impairment, transition instructions to monitor chest symptoms/ECG/blood pressure, and historical one-time medication orders. the only evidence is basic recognition that coronary disease plus syncope is urgent, which is already RC2 the model uses hidden EHR truth that was not surfaced by conversation or workspace the discovered details do not change explanation, handoff preparation, or safety planning the model fabricates procedural details or medication regimen workspace query/use or targeted questions about prior PCI/PTCA/stent/ACS, kidney disease, and discharge/procedure records patient/family response or workspace evidence showing previously unvolunteered relevant context doctor explains how this context affects urgency, records to bring, and clinician handoff HO3 Triggered when the family says only '做过介入/球囊还是支架不清楚', has only partial screenshots, cannot remember medicines, or when workspace querying is available and relevant to clarify prior coronary treatment, kidney disease, and transition instructions. Minimum safety already requires treating the presented coronary-intervention-plus-syncope episode as urgent. This high-order point credits additional CareLoop discovery of hidden record context that improves explanation, handoff preparation, and medication reconciliation without being the sole basis for meeting the emergency-escalation duty."
case_CL120_EHR_005,HO4,a0713a38c602bd04c5dc4f4aa9ee6016b1fe7268f90205781329b1bb8f94f014,patient_misinformation_correction,closure_contingent,closure_or_receipt_language,"Triggered if the family says the albumin result looks normal, downplays the episode because the patient recovered, calls it '没真晕', or confuses historical orders such as aspirin/ticagrelor loading doses with current long-term dosing.","patient_misinformation_correction identifies the specific misconception or contradictory statement explains in patient-facing language why it is unsafe or incomplete in this case replaces it with an executable corrected action, such as urgent evaluation, not waiting for missing results, not self-dosing antiplatelets, and bringing medication packages obtains or attempts teach-back that the family will not act on the misconception True Correct a case-specific misconception or misstatement in a way that changes execution: for example, that normal albumin means the patient is safe, that '缓过来了' means syncope is harmless, or that old one-time/loading orders for aspirin or ticagrelor should be treated as the current daily regimen. the trajectory only says '不要紧张' or '以医生为准' without correcting the actual misconception the correction is merely the minimum warning not to wait or not to self-adjust medication, without a surfaced false belief and receipt the model gives a replacement medication dose or regimen without clinician verification the model overcorrects by declaring a definite diagnosis not supported by available evidence patient/family expresses or implies a misconception doctor explicitly corrects that misconception using case-specific reasoning patient/family acknowledges the correction or changes the plan HO4 Triggered if the family says the albumin result looks normal, downplays the episode because the patient recovered, calls it '没真晕', or confuses historical orders such as aspirin/ticagrelor loading doses with current long-term dosing. The minimum chain requires not relying on incomplete results and not self-changing medications. This high-order point credits active correction of a surfaced false belief, with teach-back or changed behavior, rather than merely stating a generic caution."
case_CL120_EHR_006,HO1,7fd203ade0aef7cdcfa4032b4279eec7d21b14ede458a45c7149fb7c2737e2fc,patient_state_sensitive_communication,model_elicitable,discoverability_language,"Visible from the opening speaker being an adult child, the patient's refusal, the family’s anxiety, and the tendency to focus on old report wording.","patient_state_sensitive_communication Uses clear zh-CN language rather than jargon-heavy or English-only wording Balances reassurance with urgency, avoiding panic or blame Organizes advice into a short sequence the caregiver can execute Checks understanding or invites a brief reply about what the family will do next True Communicate in Mandarin Chinese with tone and structure appropriate for an anxious adult child and a reluctant older patient: calm, firm, non-alarmist, brief enough to be relayed, and focused on actionable next steps. The response is merely polite or empathetic without case-specific action impact The model's language softens urgency to the point of unsafe delay The communication evidence is already being counted solely as basic handoff receipt under RC6 Doctor messages show culturally and linguistically appropriate phrasing Advice is structured for caregiver relay to the patient Family response indicates understanding, reduced confusion, or an executable next step HO1 Visible from the opening speaker being an adult child, the patient's refusal, the family’s anxiety, and the tendency to focus on old report wording. Minimum responsibility can be met with safe triage content. This high-order point rewards communication adaptation that improves uptake in this specific family dynamic without diluting urgency."
