dimension_type,dimension_value,dimension_label,doctor_model,n_cases,n_trajectories,primary_score_mean,primary_score_ci95_low,primary_score_ci95_high,primary_score_median,strong_or_above_rate,closed_success_rate,open_at_100_rate,runtime_error_rate,mean_turns,rank_within_dimension
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,Kimi K2,4,4,2.625,1.5,3.375,3.0,0,1.0,0.0,0.0,12.25,7.5
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,MiniMax M3,4,4,2.625,1.75,3.625,2.5,0.25,0.75,0.0,0.25,14.25,7.5
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,Qwen3-30B-A3B-Instruct-2507,4,4,2.875,2.25,3.375,3.0,0,0.75,0.0,0.25,13.75,5.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,Qwen3.8-Max,4,4,3.625,2.5,4.375,4.0,0.75,0.75,0.0,0.25,26.5,3.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,DeepSeek-V3.2,12,12,2.5,1.875,3.1666666666666665,2.75,0.16666666666666666,0.9166666666666666,0.08333333333333333,0.0,36.75,7.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,DeepSeek-V4-Pro,12,12,2.625,2.125,3.1666666666666665,2.75,0.08333333333333333,0.75,0.25,0.0,56.666666666666664,6.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,Doubao-Seed-2.0-lite,12,12,2.2083333333333335,1.6666666666666667,2.8333333333333335,2.25,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.0,28.083333333333332,8.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,GLM-5,12,12,2.75,2.125,3.375,2.75,0.16666666666666666,1.0,0.0,0.0,28.5,4.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,GPT-5.4,12,12,3.6666666666666665,3.0833333333333335,4.25,3.5,0.4166666666666667,0.8333333333333334,0.16666666666666666,0.0,41.75,2.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,GPT-5.6 Sol,12,12,3.7916666666666665,2.9166666666666665,4.541666666666667,4.25,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.0,39.833333333333336,1.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,Kimi K2,12,12,1.5416666666666667,1.2083333333333333,1.9166666666666667,1.5,0,1.0,0.0,0.0,28.916666666666668,10.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,MiniMax M3,12,12,2.8333333333333335,2.4583333333333335,3.2916666666666665,2.5,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.25,40.833333333333336,3.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,Qwen3-30B-A3B-Instruct-2507,12,12,2.0416666666666665,1.5,2.7083333333333335,2.0,0.08333333333333333,1.0,0.0,0.0,27.333333333333332,9.0
disease_domain,endocrine_metabolic,disease_domain: endocrine_metabolic,Qwen3.8-Max,12,12,2.7083333333333335,2.0416666666666665,3.4583333333333335,2.75,0.16666666666666666,0.75,0.25,0.0,46.083333333333336,5.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,DeepSeek-V3.2,10,10,2.8,2.2,3.4,3.0,0.2,0.8,0.1,0.1,31.1,3.5
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,DeepSeek-V4-Pro,10,10,2.5,1.7,3.35,2.0,0.3,0.8,0.1,0.1,24.2,7.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,Doubao-Seed-2.0-lite,10,10,1.9,1.35,2.45,1.75,0,0.9,0.0,0.1,12.4,10.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,GLM-5,10,10,2.7,1.9,3.5,2.5,0.2,0.9,0.0,0.1,17.7,5.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,GPT-5.4,10,10,3.15,2.55,3.7,3.5,0.2,0.9,0.0,0.1,15.8,2.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,GPT-5.6 Sol,10,10,3.35,2.75,3.9,3.5,0.5,0.8,0.1,0.1,18.2,1.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,Kimi K2,10,10,2.8,1.85,3.75,3.0,0.3,0.9,0.0,0.1,18.7,3.5
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,MiniMax M3,10,10,2.45,1.6,3.35,2.0,0.2,0.5,0.0,0.5,7.4,8.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,Qwen3-30B-A3B-Instruct-2507,10,10,2.0,1.45,2.7,1.5,0.1,0.9,0.0,0.1,18,9.0
disease_domain,gastro_hepatology,disease_domain: gastro_hepatology,Qwen3.8-Max,10,10,2.65,1.9,3.4,2.5,0.2,0.9,0.0,0.1,18.8,6.0
disease_domain,infectious_disease,disease_domain: infectious_disease,DeepSeek-V3.2,8,8,2.5,2.0,3.0,2.0,0,0.875,0.125,0.0,28.75,10.0
disease_domain,infectious_disease,disease_domain: infectious_disease,DeepSeek-V4-Pro,8,8,3.75,2.875,4.5625,4.0,0.5,1.0,0.0,0.0,16.75,3.0
disease_domain,infectious_disease,disease_domain: infectious_disease,Doubao-Seed-2.0-lite,8,8,3.25,2.5,4.0625,3.25,0.25,1.0,0.0,0.0,17.125,7.0
disease_domain,infectious_disease,disease_domain: infectious_disease,GLM-5,8,8,3.5,2.75,4.1875,3.5,0.375,1.0,0.0,0.0,15.625,4.5
disease_domain,infectious_disease,disease_domain: infectious_disease,GPT-5.4,8,8,3.5,2.9375,4.0,3.5,0.375,0.875,0.125,0.0,30.75,4.5
disease_domain,infectious_disease,disease_domain: infectious_disease,GPT-5.6 Sol,8,8,4.25,3.6875,4.75,4.5,0.625,1.0,0.0,0.0,16.5,1.0
disease_domain,infectious_disease,disease_domain: infectious_disease,Kimi K2,8,8,3.125,2.5625,3.8125,3.0,0.125,1.0,0.0,0.0,27,8.0
disease_domain,infectious_disease,disease_domain: infectious_disease,MiniMax M3,8,8,3.8125,3.375,4.25,3.75,0.5,0.875,0.0,0.125,25.75,2.0
disease_domain,infectious_disease,disease_domain: infectious_disease,Qwen3-30B-A3B-Instruct-2507,8,8,2.9375,2.5,3.375,3.25,0,1.0,0.0,0.0,15.625,9.0
disease_domain,infectious_disease,disease_domain: infectious_disease,Qwen3.8-Max,8,8,3.375,2.6875,4.0,3.5,0.25,1.0,0.0,0.0,24.625,6.0
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,DeepSeek-V3.2,5,5,2.8,1.7,3.8,3.0,0.2,1.0,0.0,0.0,14.4,5.5
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,DeepSeek-V4-Pro,5,5,2.0,1.4,2.6,2.0,0,1.0,0.0,0.0,13,9.0
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,Doubao-Seed-2.0-lite,5,5,2.2,1.6,2.8,2.0,0,1.0,0.0,0.0,9,7.0
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,GLM-5,5,5,3.7,3.2,4.4,3.5,0.2,1.0,0.0,0.0,11,2.5
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,GPT-5.4,5,5,2.8,2.2,3.4,3.0,0,1.0,0.0,0.0,16,5.5
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,GPT-5.6 Sol,5,5,3.7,2.8,4.4,4.0,0.6,1.0,0.0,0.0,13.6,2.5
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,Kimi K2,5,5,2.0,1.1,2.9,1.5,0,1.0,0.0,0.0,10.8,9.0
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,MiniMax M3,5,5,3.4,3.1,3.7,3.5,0.2,1.0,0.0,0.0,27.2,4.0
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,Qwen3-30B-A3B-Instruct-2507,5,5,2.0,1.0,3.0,1.0,0,1.0,0.0,0.0,14,9.0
disease_domain,mental_health_somatic,disease_domain: mental_health_somatic,Qwen3.8-Max,5,5,3.9,3.0,4.7,4.5,0.6,1.0,0.0,0.0,16.6,1.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,DeepSeek-V3.2,8,8,2.375,1.75,3.125,2.0,0.125,1.0,0.0,0.0,17,9.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,DeepSeek-V4-Pro,8,8,3.8125,2.9375,4.625,4.0,0.5,1.0,0.0,0.0,13.625,1.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,Doubao-Seed-2.0-lite,8,8,2.1875,1.75,2.6875,2.0,0,1.0,0.0,0.0,11.25,10.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,GLM-5,8,8,3.375,2.8125,3.9375,3.25,0.25,1.0,0.0,0.0,12.125,3.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,GPT-5.4,8,8,3.6875,3.25,4.1875,3.5,0.375,1.0,0.0,0.0,11,2.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,GPT-5.6 Sol,8,8,3.3125,2.5625,4.0625,3.5,0.375,1.0,0.0,0.0,12.75,4.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,Kimi K2,8,8,2.6875,1.75,3.625,3.0,0.125,1.0,0.0,0.0,13,7.5
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,MiniMax M3,8,8,2.9375,2.25,3.6875,3.0,0.125,0.75,0.0,0.25,12.125,5.0
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,Qwen3-30B-A3B-Instruct-2507,8,8,2.6875,2.0,3.375,2.5,0.25,1.0,0.0,0.0,10.75,7.5
disease_domain,musculoskeletal_geriatrics,disease_domain: musculoskeletal_geriatrics,Qwen3.8-Max,8,8,2.8125,2.375,3.25,2.75,0,1.0,0.0,0.0,14.625,6.0
disease_domain,neurology,disease_domain: neurology,DeepSeek-V3.2,10,10,3.1,2.6,3.6,3.25,0.2,1.0,0.0,0.0,15.5,6.0
disease_domain,neurology,disease_domain: neurology,DeepSeek-V4-Pro,10,10,3.05,2.3,3.75,3.25,0.3,1.0,0.0,0.0,22.2,7.0
disease_domain,neurology,disease_domain: neurology,Doubao-Seed-2.0-lite,10,10,1.95,1.35,2.75,1.5,0.1,1.0,0.0,0.0,14.5,10.0
disease_domain,neurology,disease_domain: neurology,GLM-5,10,10,3.2,2.45,4.0,3.25,0.3,1.0,0.0,0.0,13.7,5.0
disease_domain,neurology,disease_domain: neurology,GPT-5.4,10,10,3.45,2.85,4.05,3.5,0.3,0.9,0.1,0.0,22.7,3.0
disease_domain,neurology,disease_domain: neurology,GPT-5.6 Sol,10,10,4.05,3.4,4.65,4.25,0.7,0.8,0.2,0.0,28,1.0
disease_domain,neurology,disease_domain: neurology,Kimi K2,10,10,2.65,1.9,3.4,2.75,0.1,1.0,0.0,0.0,12.8,8.0
disease_domain,neurology,disease_domain: neurology,MiniMax M3,10,10,3.5,2.7,4.3,3.5,0.4,0.8,0.1,0.1,21.4,2.0
disease_domain,neurology,disease_domain: neurology,Qwen3-30B-A3B-Instruct-2507,10,10,2.45,1.7,3.25,2.25,0.1,1.0,0.0,0.0,19.4,9.0
disease_domain,neurology,disease_domain: neurology,Qwen3.8-Max,10,10,3.35,2.5,4.15,3.25,0.3,0.9,0.1,0.0,21.5,4.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,DeepSeek-V3.2,8,8,3.5625,2.8125,4.3125,3.5,0.375,1.0,0.0,0.0,18.5,3.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,DeepSeek-V4-Pro,8,8,3.4375,2.75,4.0,3.5,0.375,1.0,0.0,0.0,25.125,4.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,Doubao-Seed-2.0-lite,8,8,2.75,2.0625,3.5625,2.5,0.125,1.0,0.0,0.0,17.875,9.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,GLM-5,8,8,3.125,2.625,3.625,3.25,0.125,1.0,0.0,0.0,14,6.5
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,GPT-5.4,8,8,3.8125,3.0625,4.4375,3.5,0.375,1.0,0.0,0.0,19.625,2.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,GPT-5.6 Sol,8,8,4.5625,3.8125,5.0,5.0,0.875,1.0,0.0,0.0,14.375,1.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,Kimi K2,8,8,2.625,1.875,3.375,2.5,0.125,0.875,0.125,0.0,28.5,10.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,MiniMax M3,8,8,3.125,2.6875,3.625,3.0,0.125,0.625,0.125,0.25,26,6.5
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,Qwen3-30B-A3B-Instruct-2507,8,8,2.9375,2.0,3.875,2.5,0.25,0.875,0.125,0.0,23.875,8.0
disease_domain,obstetrics_gynecology,disease_domain: obstetrics_gynecology,Qwen3.8-Max,8,8,3.1875,2.5,3.9375,3.25,0.25,1.0,0.0,0.0,20,5.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,DeepSeek-V3.2,10,10,3.4,2.65,4.2,3.5,0.3,0.9,0.1,0.0,29.5,3.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,DeepSeek-V4-Pro,10,10,3.05,2.75,3.3,3.0,0,0.9,0.1,0.0,25.2,4.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,Doubao-Seed-2.0-lite,10,10,2.7,1.95,3.45,2.75,0.2,0.9,0.1,0.0,22.8,7.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,GLM-5,10,10,2.95,2.25,3.65,3.0,0.2,1.0,0.0,0.0,23.3,5.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,GPT-5.4,10,10,3.55,3.0,4.1,3.5,0.4,0.9,0.1,0.0,28.8,2.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,GPT-5.6 Sol,10,10,3.9,3.2,4.55,4.0,0.6,0.9,0.1,0.0,29.9,1.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,Kimi K2,10,10,2.5,1.85,3.2,2.25,0.2,1.0,0.0,0.0,15.7,9.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,MiniMax M3,10,10,2.65,2.05,3.25,2.5,0.1,0.8,0.0,0.2,20.8,8.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,Qwen3-30B-A3B-Instruct-2507,10,10,2.2,1.45,3.1,2.0,0.2,0.9,0.1,0.0,28.6,10.0
disease_domain,oncology_hematology,disease_domain: oncology_hematology,Qwen3.8-Max,10,10,2.9,2.3,3.55,3.0,0.2,0.9,0.1,0.0,31.7,6.0
disease_domain,pediatrics,disease_domain: pediatrics,DeepSeek-V3.2,8,8,3.0,2.25,3.75,3.0,0.25,0.875,0.125,0.0,24.25,5.0
disease_domain,pediatrics,disease_domain: pediatrics,DeepSeek-V4-Pro,8,8,3.1875,2.5,3.9375,3.5,0.25,1.0,0.0,0.0,19.125,3.0
disease_domain,pediatrics,disease_domain: pediatrics,Doubao-Seed-2.0-lite,8,8,2.125,1.625,2.625,2.0,0,1.0,0.0,0.0,14.625,9.0
disease_domain,pediatrics,disease_domain: pediatrics,GLM-5,8,8,3.375,2.75,4.0,3.5,0.375,1.0,0.0,0.0,11.875,2.0
disease_domain,pediatrics,disease_domain: pediatrics,GPT-5.4,8,8,3.125,2.4375,3.9375,3.0,0.25,1.0,0.0,0.0,14.875,4.0
disease_domain,pediatrics,disease_domain: pediatrics,GPT-5.6 Sol,8,8,4.0625,3.3125,4.8125,4.25,0.5,1.0,0.0,0.0,15.75,1.0
disease_domain,pediatrics,disease_domain: pediatrics,Kimi K2,8,8,2.75,2.3125,3.1875,2.75,0,1.0,0.0,0.0,16.75,7.5
disease_domain,pediatrics,disease_domain: pediatrics,MiniMax M3,8,8,2.9375,2.3125,3.6875,2.75,0.125,0.875,0.0,0.125,12.125,6.0
disease_domain,pediatrics,disease_domain: pediatrics,Qwen3-30B-A3B-Instruct-2507,8,8,2.0625,1.4375,2.75,2.0,0,1.0,0.0,0.0,13.5,10.0
disease_domain,pediatrics,disease_domain: pediatrics,Qwen3.8-Max,8,8,2.75,2.25,3.25,2.75,0,1.0,0.0,0.0,14.125,7.5
disease_domain,renal_urology,disease_domain: renal_urology,DeepSeek-V3.2,11,11,2.772727272727273,2.1363636363636362,3.409090909090909,2.5,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.0,30,7.0
disease_domain,renal_urology,disease_domain: renal_urology,DeepSeek-V4-Pro,11,11,2.8636363636363638,2.272727272727273,3.4545454545454546,3.0,0.2727272727272727,1.0,0.0,0.0,24.181818181818183,5.0
disease_domain,renal_urology,disease_domain: renal_urology,Doubao-Seed-2.0-lite,11,11,2.272727272727273,1.6818181818181819,2.9545454545454546,2.0,0.09090909090909091,1.0,0.0,0.0,19.272727272727273,9.0
disease_domain,renal_urology,disease_domain: renal_urology,GLM-5,11,11,3.1818181818181817,2.409090909090909,4.0,3.5,0.2727272727272727,1.0,0.0,0.0,11.727272727272727,3.5
disease_domain,renal_urology,disease_domain: renal_urology,GPT-5.4,11,11,4.136363636363637,3.5454545454545454,4.636363636363637,4.5,0.6363636363636364,0.9090909090909091,0.09090909090909091,0.0,29.454545454545453,2.0
disease_domain,renal_urology,disease_domain: renal_urology,GPT-5.6 Sol,11,11,4.181818181818182,3.6352272727272736,4.681818181818182,4.5,0.7272727272727273,0.9090909090909091,0.09090909090909091,0.0,23.272727272727273,1.0
disease_domain,renal_urology,disease_domain: renal_urology,Kimi K2,11,11,2.6818181818181817,1.9090909090909092,3.5,3.0,0.18181818181818182,1.0,0.0,0.0,16.545454545454547,8.0
disease_domain,renal_urology,disease_domain: renal_urology,MiniMax M3,11,11,2.8181818181818183,1.9545454545454546,3.6818181818181817,3.0,0.36363636363636365,0.6363636363636364,0.09090909090909091,0.2727272727272727,22.09090909090909,6.0
disease_domain,renal_urology,disease_domain: renal_urology,Qwen3-30B-A3B-Instruct-2507,11,11,1.9090909090909092,1.4545454545454546,2.409090909090909,2.0,0,0.9090909090909091,0.09090909090909091,0.0,21.90909090909091,10.0
disease_domain,renal_urology,disease_domain: renal_urology,Qwen3.8-Max,11,11,3.1818181818181817,2.5,3.8636363636363638,3.0,0.36363636363636365,0.9090909090909091,0.09090909090909091,0.0,18.90909090909091,3.5
disease_domain,respiratory,disease_domain: respiratory,DeepSeek-V3.2,13,13,2.9615384615384617,2.269230769230769,3.6538461538461537,3.5,0.3076923076923077,0.9230769230769231,0.07692307692307693,0.0,25.384615384615383,4.0
disease_domain,respiratory,disease_domain: respiratory,DeepSeek-V4-Pro,13,13,2.923076923076923,2.230769230769231,3.6153846153846154,3.0,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.0,27.76923076923077,6.0
disease_domain,respiratory,disease_domain: respiratory,Doubao-Seed-2.0-lite,13,13,2.5384615384615383,2.1153846153846154,2.9615384615384617,3.0,0,1.0,0.0,0.0,21.846153846153847,9.0
disease_domain,respiratory,disease_domain: respiratory,GLM-5,13,13,3.0384615384615383,2.230769230769231,3.8461538461538463,3.0,0.38461538461538464,0.9230769230769231,0.07692307692307693,0.0,23.384615384615383,3.0
disease_domain,respiratory,disease_domain: respiratory,GPT-5.4,13,13,3.5384615384615383,2.8076923076923075,4.230769230769231,3.5,0.46153846153846156,0.9230769230769231,0.07692307692307693,0.0,22.153846153846153,1.0
disease_domain,respiratory,disease_domain: respiratory,GPT-5.6 Sol,13,13,3.3461538461538463,2.769230769230769,3.8846153846153846,3.5,0.38461538461538464,0.7692307692307693,0.23076923076923078,0.0,33.15384615384615,2.0
disease_domain,respiratory,disease_domain: respiratory,Kimi K2,13,13,2.923076923076923,2.1538461538461537,3.730769230769231,2.5,0.3076923076923077,0.9230769230769231,0.07692307692307693,0.0,24.076923076923077,6.0
disease_domain,respiratory,disease_domain: respiratory,MiniMax M3,13,13,2.076923076923077,1.6538461538461537,2.5384615384615383,2.0,0,0.7692307692307693,0.15384615384615385,0.07692307692307693,28.53846153846154,10.0
disease_domain,respiratory,disease_domain: respiratory,Qwen3-30B-A3B-Instruct-2507,13,13,2.6923076923076925,2.0,3.423076923076923,2.5,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.0,30.23076923076923,8.0
disease_domain,respiratory,disease_domain: respiratory,Qwen3.8-Max,13,13,2.923076923076923,2.3846153846153846,3.4615384615384617,3.0,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.0,32.23076923076923,6.0
target_problem,abdominal_pain,target_problem: abdominal_pain,DeepSeek-V3.2,2,2,3.5,3.0,4.0,3.5,0.5,1.0,0.0,0.0,27.5,5.0
target_problem,abdominal_pain,target_problem: abdominal_pain,DeepSeek-V4-Pro,2,2,3.25,2.5,4.0,3.25,0.5,1.0,0.0,0.0,34.5,6.0
target_problem,abdominal_pain,target_problem: abdominal_pain,Doubao-Seed-2.0-lite,2,2,2.75,2.5,3.0,2.75,0,1.0,0.0,0.0,9.5,8.0
target_problem,abdominal_pain,target_problem: abdominal_pain,GLM-5,2,2,4.75,4.5,5.0,4.75,1,1.0,0.0,0.0,54,1.0
target_problem,abdominal_pain,target_problem: abdominal_pain,GPT-5.4,2,2,4.0,3.5,4.5,4.0,0.5,1.0,0.0,0.0,36,3.0
target_problem,abdominal_pain,target_problem: abdominal_pain,GPT-5.6 Sol,2,2,4.0,4.0,4.0,4.0,1,1.0,0.0,0.0,8.5,3.0
target_problem,abdominal_pain,target_problem: abdominal_pain,Kimi K2,2,2,4.0,3.0,5.0,4.0,0.5,1.0,0.0,0.0,29.5,3.0
target_problem,abdominal_pain,target_problem: abdominal_pain,MiniMax M3,2,2,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,2.5,10.0
target_problem,abdominal_pain,target_problem: abdominal_pain,Qwen3-30B-A3B-Instruct-2507,2,2,3.0,1.5,4.5,3.0,0.5,1.0,0.0,0.0,27,7.0
target_problem,abdominal_pain,target_problem: abdominal_pain,Qwen3.8-Max,2,2,2.0,1.0,3.0,2.0,0,1.0,0.0,0.0,50,9.0
target_problem,aki_warning,target_problem: aki_warning,DeepSeek-V3.2,1,1,3.5,3.5,3.5,3.5,0,0.0,1.0,0.0,100,5.0
target_problem,aki_warning,target_problem: aki_warning,DeepSeek-V4-Pro,1,1,3.0,3.0,3.0,3.0,0,1.0,0.0,0.0,53,6.0
target_problem,aki_warning,target_problem: aki_warning,Doubao-Seed-2.0-lite,1,1,1.0,1.0,1.0,1.0,0,1.0,0.0,0.0,29,10.0
target_problem,aki_warning,target_problem: aki_warning,GLM-5,1,1,5.0,5.0,5.0,5.0,1,1.0,0.0,0.0,25,1.5
target_problem,aki_warning,target_problem: aki_warning,GPT-5.4,1,1,4.5,4.5,4.5,4.5,1,0.0,1.0,0.0,100,3.0
target_problem,aki_warning,target_problem: aki_warning,GPT-5.6 Sol,1,1,4.0,4.0,4.0,4.0,1,0.0,1.0,0.0,100,4.0
target_problem,aki_warning,target_problem: aki_warning,Kimi K2,1,1,5.0,5.0,5.0,5.0,1,1.0,0.0,0.0,25,1.5
target_problem,aki_warning,target_problem: aki_warning,MiniMax M3,1,1,2.5,2.5,2.5,2.5,0,0.0,1.0,0.0,100,8.0
target_problem,aki_warning,target_problem: aki_warning,Qwen3-30B-A3B-Instruct-2507,1,1,2.5,2.5,2.5,2.5,0,0.0,1.0,0.0,100,8.0
target_problem,aki_warning,target_problem: aki_warning,Qwen3.8-Max,1,1,2.5,2.5,2.5,2.5,0,0.0,1.0,0.0,100,8.0
target_problem,anemia_bleeding,target_problem: anemia_bleeding,DeepSeek-V3.2,2,2,3.5,2.0,5.0,3.5,0.5,0.5,0.5,0.0,70,6.0
target_problem,anemia_bleeding,target_problem: anemia_bleeding,DeepSeek-V4-Pro,2,2,3.25,3.0,3.5,3.25,0,1.0,0.0,0.0,24.5,8.0
