public_trajectory_id,packet_id,case_id,doctor_model,trajectory_status,turns_completed,retained_event_count,doctor_message_count,doctor_turn_count,workspace_turn_count,workspace_entry_count,workspace_result_count,doctor_operation_routing_count,has_workspace,turns_per_workspace_turn,first_workspace_turn,last_workspace_turn,family_message_count,patient_message_count,doctor_system_notification_count,runtime_error_category,runtime_error_type,closure_status,closure_kind,case_disease_domain,case_target_problem,case_starting_phase,case_friction_intensity,case_primary_friction,case_secondary_frictions,case_tool_dependency,case_expected_turn_budget_category,case_high_order_capability_domains,aggregate_score_mean,aggregate_score_median,judge_score_range,judge_score_std,score_minus_case_mean,failure_flags,primary_failure_mode,low_score,very_low_score,below_strong,high_turn,very_high_turn,no_workspace,sparse_workspace,heavy_workspace,high_judge_disagreement,workspace_underuse_candidate,workspace_overuse_candidate,long_or_tool_intensive_low_score,closed_but_low_score,model_specific_weakness,serious_error_any_judge,minor_or_moderate_error_any_judge,important_non_chain_defect_any_judge
case_CL120_EHR_013__DeepSeek-V3.2,case_CL120_EHR_013__anon_a305a42e4a9f5bb9,case_CL120_EHR_013,DeepSeek-V3.2,closed_success,9,58,9,9,5,13,12,12,True,1.8,1,8,10,0,2,,,closed,terminal_safe_episode_closed,cardiovascular,atrial_fibrillation_anticoagulation,longitudinal_followup,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,2.5,2.0,4,1.6583123951777,-1.6,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True
case_CL120_EHR_014__DeepSeek-V3.2,case_CL120_EHR_014__anon_609dfb9bc9f404a1,case_CL120_EHR_014,DeepSeek-V3.2,closed_success,7,59,7,7,5,14,13,13,True,1.4,1,7,8,0,4,,,closed,terminal_safe_episode_closed,cardiovascular,hypertension_urgency,discharge_transition,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,1.75,1.0,3,1.299038105676658,-2.1,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False
case_CL120_EHR_015__DeepSeek-V3.2,case_CL120_EHR_015__anon_505c7863e65b603a,case_CL120_EHR_015,DeepSeek-V3.2,closed_success,16,85,16,16,10,17,16,16,True,1.6,1,14,17,0,3,,,closed,terminal_safe_episode_closed,respiratory,suspected_pulmonary_embolism_result_and_anticoagulation_followup,result_return,heavy,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,long,HO1 | HO2 | HO3 | HO4,3,3.0,4,2.0,-0.6499999999999999,low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,long_or_tool_intensive_low_score,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False
case_CL120_EHR_016__DeepSeek-V3.2,case_CL120_EHR_016__anon_d40d973275006e3e,case_CL120_EHR_016,DeepSeek-V3.2,closed_success,6,27,6,6,1,5,4,4,True,6.0,1,1,7,0,1,,,closed,terminal_safe_handoff_closed,respiratory,pneumonia,pre_handoff,heavy,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,long,HO1 | HO2 | HO3 | HO4,3.5,3.5,3,1.5,0.5,below_strong | sparse_workspace | high_judge_disagreement | workspace_underuse_candidate | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,workspace_underuse_candidate,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True
case_CL120_EHR_017__DeepSeek-V3.2,case_CL120_EHR_017__anon_c0904c67c851dd81,case_CL120_EHR_017,DeepSeek-V3.2,closed_success,25,112,25,25,9,19,18,18,True,2.7777777777777777,1,23,26,0,6,,,closed,terminal_safe_episode_closed,respiratory,lung_nodule_mass,post_handoff,heavy,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,long,HO1 | HO2 | HO3 | HO4,3.5,4.0,4,1.5,-0.20000000000000018,heavy_workspace | high_judge_disagreement | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,high_judge_disagreement,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True
case_CL120_EHR_018__DeepSeek-V3.2,case_CL120_EHR_018__anon_3c8523575dded292,case_CL120_EHR_018,DeepSeek-V3.2,closed_success,39,137,39,39,9,19,17,17,True,4.333333333333333,1,36,40,0,5,,,closed,terminal_safe_episode_closed,respiratory,pulmonary_embolism,post_handoff,extreme,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,extra_long,HO1 | HO2 | HO3 | HO4,3.5,3.5,3,1.5,0.8999999999999999,below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | minor_or_moderate_error_any_judge,long_or_tool_intensive_low_score,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False
case_CL120_EHR_019__DeepSeek-V3.2,case_CL120_EHR_019__anon_9f669abd876d2e32,case_CL120_EHR_019,DeepSeek-V3.2,closed_success,6,56,6,6,4,14,12,12,True,1.5,1,6,7,0,5,,,closed,terminal_safe_episode_closed,respiratory,home_oxygen_or_inhaler_execution,post_handoff,light,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,3.5,3.5,3,1.5,-0.04999999999999982,below_strong | high_judge_disagreement | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,high_judge_disagreement,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
case_CL120_EHR_020__DeepSeek-V3.2,case_CL120_EHR_020__anon_e1f7330f2c729c8d,case_CL120_EHR_020,DeepSeek-V3.2,closed_success,4,49,4,4,4,14,12,12,True,1.0,1,4,5,0,2,,,closed,terminal_safe_episode_closed,respiratory,asthma_copd_exacerbation,result_return,light,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,1.75,1.5,2,0.82915619758885,-0.3999999999999999,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
case_CL120_EHR_021__DeepSeek-V3.2,case_CL120_EHR_021__anon_d3305da7dd90973e,case_CL120_EHR_021,DeepSeek-V3.2,open_at_100,100,438,100,100,42,80,74,75,True,2.380952380952381,1,100,101,0,4,,,open,open_progressing,respiratory,pneumonia,result_return,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,3.5,4.0,4,1.5,0.9500000000000002,high_turn | very_high_turn | heavy_workspace | high_judge_disagreement | serious_error_any_judge | minor_or_moderate_error_any_judge,open_at_100,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False
case_CL120_EHR_022__DeepSeek-V3.2,case_CL120_EHR_022__anon_b073a0022d03a196,case_CL120_EHR_022,DeepSeek-V3.2,closed_success,8,47,8,8,3,11,9,9,True,2.6666666666666665,1,3,0,9,1,,,closed,terminal_safe_episode_closed,respiratory,lung_nodule_mass,home_execution_failure,light,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,1.75,1.5,2,0.82915619758885,-0.3500000000000001,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
case_CL120_EHR_023__DeepSeek-V3.2,case_CL120_EHR_023__anon_edf864f24135d60f,case_CL120_EHR_023,DeepSeek-V3.2,closed_success,8,44,8,8,2,9,8,8,True,4.0,1,2,9,0,2,,,closed,terminal_safe_episode_closed,respiratory,pulmonary_embolism,longitudinal_followup,light,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,2.25,1.5,4,1.6393596310755,-0.3999999999999999,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
case_CL120_EHR_024__DeepSeek-V3.2,case_CL120_EHR_024__anon_65e4efca9234cd2f,case_CL120_EHR_024,DeepSeek-V3.2,closed_success,8,51,8,8,4,12,10,10,True,2.0,1,5,9,0,2,,,closed,terminal_safe_episode_closed,respiratory,home_oxygen_or_inhaler_execution,longitudinal_followup,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,1.25,1.0,1,0.4330127018922193,-1.6,low_score | very_low_score | below_strong | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False
case_CL120_EHR_025__DeepSeek-V3.2,case_CL120_EHR_025__anon_c28b6ed3bf58f787,case_CL120_EHR_025,DeepSeek-V3.2,closed_success,69,261,69,69,17,42,37,37,True,4.0588235294117645,1,63,70,0,6,,,closed,terminal_safe_episode_closed,respiratory,asthma_copd_exacerbation,discharge_transition,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,3.75,4.5,4,1.6393596310755,1.1,high_turn | heavy_workspace | high_judge_disagreement | serious_error_any_judge | minor_or_moderate_error_any_judge,high_judge_disagreement,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False
case_CL120_EHR_026__DeepSeek-V3.2,case_CL120_EHR_026__anon_a5b03b9fb15071ba,case_CL120_EHR_026,DeepSeek-V3.2,closed_success,36,103,36,36,5,10,9,9,True,7.2,1,34,37,0,2,,,closed,terminal_safe_episode_closed,respiratory,pneumonia,palliative_terminal,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,5.0,4,1.7320508075688772,2.2,high_judge_disagreement | serious_error_any_judge,high_judge_disagreement,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
case_CL120_EHR_027__DeepSeek-V3.2,case_CL120_EHR_027__anon_484a776711a0b5d9,case_CL120_EHR_027,DeepSeek-V3.2,closed_success,5,28,5,5,1,5,4,4,True,5.0,1,1,6,0,4,,,closed,terminal_safe_handoff_closed,endocrine_metabolic,diabetes_sick_day,pre_handoff,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,3,3.0,4,1.5811388300841898,0.5499999999999998,low_score | below_strong | sparse_workspace | high_judge_disagreement | workspace_underuse_candidate | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,workspace_underuse_candidate,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False
case_CL120_EHR_028__DeepSeek-V3.2,case_CL120_EHR_028__anon_5b1c5f1874a6c6e5,case_CL120_EHR_028,DeepSeek-V3.2,closed_success,36,189,36,36,13,25,23,24,True,2.769230769230769,1,33,37,0,43,,,closed,terminal_safe_episode_closed,endocrine_metabolic,hypoglycemia,post_handoff,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,2.75,2.5,4,1.7853571071357126,0.6000000000000001,low_score | very_low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True,True
case_CL120_EHR_029__DeepSeek-V3.2,case_CL120_EHR_029__anon_5ffbeb361fec02e7,case_CL120_EHR_029,DeepSeek-V3.2,closed_success,35,144,35,35,11,23,21,21,True,3.1818181818181817,1,30,36,0,6,,,closed,terminal_safe_episode_closed,endocrine_metabolic,thyroid_dysfunction,post_handoff,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,3.75,4.5,4,1.6393596310755,0.7000000000000002,heavy_workspace | high_judge_disagreement | serious_error_any_judge | minor_or_moderate_error_any_judge,high_judge_disagreement,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False
case_CL120_EHR_030__DeepSeek-V3.2,case_CL120_EHR_030__anon_0b7efc823fc68c75,case_CL120_EHR_030,DeepSeek-V3.2,open_at_100,100,329,100,100,27,40,38,38,True,3.7037037037037037,1,97,101,0,11,,,closed,terminal_safe_episode_closed,endocrine_metabolic,steroid_or_insulin_adjustment,post_handoff,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,3,3.0,2,1.0,0.7000000000000002,low_score | below_strong | high_turn | very_high_turn | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,open_at_100,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,True,True
case_CL120_EHR_031__DeepSeek-V3.2,case_CL120_EHR_031__anon_5ed720bcc2b857a2,case_CL120_EHR_031,DeepSeek-V3.2,closed_success,8,68,8,8,5,18,15,15,True,1.6,1,8,0,9,3,,,closed,terminal_safe_episode_closed,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,result_return,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,1.5,1.0,2,0.8660254037844386,-1.6,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True
case_CL120_EHR_032__DeepSeek-V3.2,case_CL120_EHR_032__anon_12a2963ddf12e518,case_CL120_EHR_032,DeepSeek-V3.2,closed_success,12,79,12,12,7,17,15,15,True,1.7142857142857142,1,12,0,13,7,,,closed,terminal_safe_episode_closed,endocrine_metabolic,diabetes_sick_day,result_return,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,2,1.0,4,1.7320508075688772,-1.2999999999999998,low_score | very_low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True
case_CL120_EHR_033__DeepSeek-V3.2,case_CL120_EHR_033__anon_b6aaf712e45ca335,case_CL120_EHR_033,DeepSeek-V3.2,closed_success,59,212,59,59,16,31,28,28,True,3.6875,1,58,60,0,5,,,closed,terminal_safe_episode_closed,endocrine_metabolic,hypoglycemia,home_execution_failure,heavy,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,long,HO1 | HO2 | HO3 | HO4,3,3.0,4,1.5811388300841898,-0.25,low_score | below_strong | high_turn | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,long_or_tool_intensive_low_score,True,False,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True
case_CL120_EHR_034__DeepSeek-V3.2,case_CL120_EHR_034__anon_654f1adb0aa000c1,case_CL120_EHR_034,DeepSeek-V3.2,closed_success,60,295,60,60,24,61,53,54,True,2.5,1,59,0,61,4,,,closed,terminal_safe_episode_closed,endocrine_metabolic,thyroid_dysfunction,longitudinal_followup,heavy,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,long,HO1 | HO2 | HO3 | HO4,2.25,1.5,4,1.6393596310755,-0.8999999999999999,low_score | very_low_score | below_strong | high_turn | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True
case_CL120_EHR_035__DeepSeek-V3.2,case_CL120_EHR_035__anon_71aaa3b41e9b12e3,case_CL120_EHR_035,DeepSeek-V3.2,closed_success,22,100,22,22,7,19,16,16,True,3.142857142857143,1,22,0,23,2,,,closed,terminal_safe_episode_closed,endocrine_metabolic,steroid_or_insulin_adjustment,longitudinal_followup,extreme,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,extra_long,HO1 | HO2 | HO3 | HO4,2.25,1.5,4,1.6393596310755,-1.1,low_score | very_low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
