packet_id,public_model_slug,public_trajectory_id,case_id,doctor_model,terminal_status,turns_completed,runtime_error_present,source_trajectory_sha256,packet_sha256,source_trajectory_file,retained_event_count,doctor_message_count,doctor_turn_count,workspace_turn_count,workspace_entry_count,workspace_result_count,doctor_operation_routing_count,has_workspace,turns_per_workspace_turn,first_workspace_turn,last_workspace_turn,family_message_count,patient_message_count,doctor_system_notification_count,runtime_error_category,runtime_error_type,runtime_error_message_excerpt,closure_status,closure_kind,closed_success_flag,open_at_100_flag,runtime_error_flag,aggregate_score_median,aggregate_score_mean,judge_score_range,judge_score_std,serious_error_any_judge,minor_or_moderate_error_any_judge,important_non_chain_defect_any_judge,judge_reported_grade_mismatch_count,judge_output_quality_error_count,judge_with_any_quality_error_count,contract_complexity_index,contract_complexity_level
case_CL120_EHR_011__anon_008c0c01fa9fd92b,DeepSeek-V3.2,case_CL120_EHR_011__DeepSeek-V3.2,case_CL120_EHR_011,DeepSeek-V3.2,closed_success,12,False,fe325b462d783835a86e23464b3fc166aa46c3c8881d49822f51e2f84e9c31e5,47a973919fb7b0edf61b5a13836be70a392439f14dfbebd6c29bc67a7c9b8630,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_011.json,44,12,12,2,6,5,5,True,6.0,1,9,13,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.5,3,1.5,False,True,False,0,25,4,5,moderate
case_CL120_EHR_012__anon_ee92460fec2ed680,DeepSeek-V3.2,case_CL120_EHR_012__DeepSeek-V3.2,case_CL120_EHR_012,DeepSeek-V3.2,closed_success,21,False,c9c37ab5de8edd0c6a6a6b90abda0096f0163a98d89c1e472d1e053a1eba3de0,635d260ea557582c7a7ea7b34cb11800c4dd27c363913f4a06ee623388115294,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_012.json,85,21,21,6,15,13,13,True,3.5,1,17,22,0,1,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.25,4,1.7853571071357126,True,True,False,0,58,4,7,high
case_CL120_EHR_013__anon_a305a42e4a9f5bb9,DeepSeek-V3.2,case_CL120_EHR_013__DeepSeek-V3.2,case_CL120_EHR_013,DeepSeek-V3.2,closed_success,9,False,e442c62f737e67c3d8a553d9b7efd9e5f047ba08f961e2318e958b184a769804,c01de7178cd13a180394bc7a57acf3b26858cd74a6268661fbac0f20f6b37640,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_013.json,58,9,9,5,13,12,12,True,1.8,1,8,10,0,2,,,,closed,terminal_safe_episode_closed,True,False,False,2.0,2.5,4,1.6583123951777,True,True,True,0,30,3,6,moderate
case_CL120_EHR_014__anon_609dfb9bc9f404a1,DeepSeek-V3.2,case_CL120_EHR_014__DeepSeek-V3.2,case_CL120_EHR_014,DeepSeek-V3.2,closed_success,7,False,f4a14ed8fee52a764b69b5d8ddbf5b8cc4e2514ece4fc7698145226e3442cf9c,b30a7137e8b2162200bb69ed66a601d84f79d4421113f0c34b2edbb70e428699,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_014.json,59,7,7,5,14,13,13,True,1.4,1,7,8,0,4,,,,closed,terminal_safe_episode_closed,True,False,False,1.0,1.75,3,1.299038105676658,True,True,False,0,18,3,6,moderate
case_CL120_EHR_015__anon_505c7863e65b603a,DeepSeek-V3.2,case_CL120_EHR_015__DeepSeek-V3.2,case_CL120_EHR_015,DeepSeek-V3.2,closed_success,16,False,35dc69947293a2da5bdfa11463529bde8a964c6bfdb02bf48489eda57565e7dc,8838cc07dc89ad07ba3c4d15df69bd7299242ed38e107493ae4d7f77151481c5,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_015.json,85,16,16,10,17,16,16,True,1.6,1,14,17,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,3.0,3,4,2.0,True,True,False,1,39,4,10,high
case_CL120_EHR_016__anon_d40d973275006e3e,DeepSeek-V3.2,case_CL120_EHR_016__DeepSeek-V3.2,case_CL120_EHR_016,DeepSeek-V3.2,closed_success,6,False,05561d96ea2f50390d23e89e76657ac9b252fffd4821d6badec2fa1c177ee274,87bd7d233d92d41a301e9598f7a9bab2e428bbcaf8fd650b4d8604cedbd46f9d,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_016.json,27,6,6,1,5,4,4,True,6.0,1,1,7,0,1,,,,closed,terminal_safe_handoff_closed,True,False,False,3.5,3.5,3,1.5,False,True,True,1,37,4,8,high
case_CL120_EHR_017__anon_c0904c67c851dd81,DeepSeek-V3.2,case_CL120_EHR_017__DeepSeek-V3.2,case_CL120_EHR_017,DeepSeek-V3.2,closed_success,25,False,5fb8650ead531b835995282ce9f8b320dd9968097ae09f206d0fc3a36629cc9d,0500042985be73fc153f4b64ca719ebce4ea6f6cc5ac8470c30353f13568d04f,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_017.json,112,25,25,9,19,18,18,True,2.7777777777777777,1,23,26,0,6,,,,closed,terminal_safe_episode_closed,True,False,False,4.0,3.5,4,1.5,True,True,True,3,63,4,8,high
case_CL120_EHR_018__anon_3c8523575dded292,DeepSeek-V3.2,case_CL120_EHR_018__DeepSeek-V3.2,case_CL120_EHR_018,DeepSeek-V3.2,closed_success,39,False,74051aa56fb2038accabfeb4d588d6018fc543d0bf0877ca6ba3e316bc8da11c,d49792fd2ad7a127ac68fcf411f2463ec5849afa22085176f7197822654ef2a5,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_018.json,137,39,39,9,19,17,17,True,4.333333333333333,1,36,40,0,5,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.5,3,1.5,False,True,False,1,54,4,7,high
case_CL120_EHR_019__anon_9f669abd876d2e32,DeepSeek-V3.2,case_CL120_EHR_019__DeepSeek-V3.2,case_CL120_EHR_019,DeepSeek-V3.2,closed_success,6,False,f6c19325b9d3d6e6516311d458f4e4ce9019bc94fff46dc837747f3240baf4f2,e2414e0776f65f324555e5aead9c676f39cafeda2d8c0a9809d948aee17e52b6,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_019.json,56,6,6,4,14,12,12,True,1.5,1,6,7,0,5,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.5,3,1.5,False,True,True,0,37,4,6,moderate
case_CL120_EHR_020__anon_e1f7330f2c729c8d,DeepSeek-V3.2,case_CL120_EHR_020__DeepSeek-V3.2,case_CL120_EHR_020,DeepSeek-V3.2,closed_success,4,False,64c05157a6ffd9deeb993a7168392a483d1bec93fd2f55a1328fbd896840e1c7,a6b7585f1d3a7e9daa22816b185aba43aef942357258363b26d5ef9ce8599a9f,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_020.json,49,4,4,4,14,12,12,True,1.0,1,4,5,0,2,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,1.75,2,0.82915619758885,True,True,False,0,16,4,5,moderate
case_CL120_EHR_021__anon_d3305da7dd90973e,DeepSeek-V3.2,case_CL120_EHR_021__DeepSeek-V3.2,case_CL120_EHR_021,DeepSeek-V3.2,open_at_100,100,False,35d1e0aeeff5d9337835dabc65ef64b8dbbc316a1b737e6b7b1ef69043072302,3ece3276da1c2ee2b67405a4dfacb3c48b6a9a6df4ebb125d0dc34ced5a15657,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_021.json,438,100,100,42,80,74,75,True,2.380952380952381,1,100,101,0,4,,,,open,open_progressing,False,True,False,4.0,3.5,4,1.5,True,True,False,2,51,4,4,moderate
case_CL120_EHR_022__anon_b073a0022d03a196,DeepSeek-V3.2,case_CL120_EHR_022__DeepSeek-V3.2,case_CL120_EHR_022,DeepSeek-V3.2,closed_success,8,False,ac1daac074cacc642e812bc204f8b1dd40cab653229f22cb7fc7bb1e54c46ad2,daa8aac53a4dea6b87573f4103c9692ba6d4303a71e429c4cc799df362c2c0de,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_022.json,47,8,8,3,11,9,9,True,2.6666666666666665,1,3,0,9,1,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,1.75,2,0.82915619758885,True,True,False,0,41,3,5,moderate
case_CL120_EHR_023__anon_edf864f24135d60f,DeepSeek-V3.2,case_CL120_EHR_023__DeepSeek-V3.2,case_CL120_EHR_023,DeepSeek-V3.2,closed_success,8,False,ec8232bfa8eb3afa0153f1d50e3c957032402f6d8b18024f5453cff7475da49c,39ca90b4f50a3037f50a296aa39e6331e00fbdf3d338de766b51720d36c9c2d0,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_023.json,44,8,8,2,9,8,8,True,4.0,1,2,9,0,2,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,2.25,4,1.6393596310755,True,True,False,1,30,4,6,moderate
case_CL120_EHR_024__anon_65e4efca9234cd2f,DeepSeek-V3.2,case_CL120_EHR_024__DeepSeek-V3.2,case_CL120_EHR_024,DeepSeek-V3.2,closed_success,8,False,f4b9668ed29cb2dfc3d3bff6480ff21e7d3eb2ffe000b520d8340ad136313773,c571368119ba805bffc9aed289997d2cf5f8027eb2816b23469e4d17a6cb19ba,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_024.json,51,8,8,4,12,10,10,True,2.0,1,5,9,0,2,,,,closed,terminal_safe_episode_closed,True,False,False,1.0,1.25,1,0.4330127018922193,True,True,False,2,47,4,6,moderate
case_CL120_EHR_025__anon_c28b6ed3bf58f787,DeepSeek-V3.2,case_CL120_EHR_025__DeepSeek-V3.2,case_CL120_EHR_025,DeepSeek-V3.2,closed_success,69,False,74653b43c839e1fbe382478fc0546d33cbb7f4e5909e16cb7050a64a44bafaa9,8a412409ac28e5280f7abc071b7d91e37260fbb2fbbe6a09fd57bbbb95fc74ee,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_025.json,261,69,69,17,42,37,37,True,4.0588235294117645,1,63,70,0,6,,,,closed,terminal_safe_episode_closed,True,False,False,4.5,3.75,4,1.6393596310755,True,True,False,2,61,4,7,high
case_CL120_EHR_026__anon_a5b03b9fb15071ba,DeepSeek-V3.2,case_CL120_EHR_026__DeepSeek-V3.2,case_CL120_EHR_026,DeepSeek-V3.2,closed_success,36,False,f3aaea50eaae28ee1cce086612100cbc204260985f4fdb31e3e506a7e43ed9e9,c707bc6556c736e70a26f1cbbbec5d945fe331f4aeef59e0e01a62e5107699bc,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_026.json,103,36,36,5,10,9,9,True,7.2,1,34,37,0,2,,,,closed,terminal_safe_episode_closed,True,False,False,5.0,4,4,1.7320508075688772,True,False,False,1,57,4,8,high
case_CL120_EHR_027__anon_484a776711a0b5d9,DeepSeek-V3.2,case_CL120_EHR_027__DeepSeek-V3.2,case_CL120_EHR_027,DeepSeek-V3.2,closed_success,5,False,4612b502d147b73a62ab5b17e69c11ea029cd5f2a2b50387f74d8cef8bf7240e,27719fdfd0b4443d9067952e4c494861585b79f24b64f1b1dfaef064d2603362,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_027.json,28,5,5,1,5,4,4,True,5.0,1,1,6,0,4,,,,closed,terminal_safe_handoff_closed,True,False,False,3.0,3,4,1.5811388300841898,True,True,False,1,39,4,6,moderate
case_CL120_EHR_028__anon_5b1c5f1874a6c6e5,DeepSeek-V3.2,case_CL120_EHR_028__DeepSeek-V3.2,case_CL120_EHR_028,DeepSeek-V3.2,closed_success,36,False,02a75ce1e62426909d3441223dd081dfb7e169cbe96abd0cf504f493e8e04edc,7cf5248ebd5a6dd89e0378080014f58fcae5c1c9d21adeab24202126352a3aef,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_028.json,189,36,36,13,25,23,24,True,2.769230769230769,1,33,37,0,43,,,,closed,terminal_safe_episode_closed,True,False,False,2.5,2.75,4,1.7853571071357126,True,True,True,1,71,4,4,moderate
case_CL120_EHR_029__anon_5ffbeb361fec02e7,DeepSeek-V3.2,case_CL120_EHR_029__DeepSeek-V3.2,case_CL120_EHR_029,DeepSeek-V3.2,closed_success,35,False,748e9b5ab7801df038989643b9786886f7ab4db585cf2854bea1a35413b6a9e8,64c588d77cf8536aac9a6d02a57bc29e0ae1af243fcfac1d5c255051bd90828e,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_029.json,144,35,35,11,23,21,21,True,3.1818181818181817,1,30,36,0,6,,,,closed,terminal_safe_episode_closed,True,False,False,4.5,3.75,4,1.6393596310755,True,True,False,1,48,4,7,high
case_CL120_EHR_030__anon_0b7efc823fc68c75,DeepSeek-V3.2,case_CL120_EHR_030__DeepSeek-V3.2,case_CL120_EHR_030,DeepSeek-V3.2,open_at_100,100,False,86fa506c0a97b83b93be68e619d08f32fc7139f921941bc49df276c5d3cdc475,08cf6574dda7b503110a811dfd304349bd717b163befd06d4ed543a6909ca291,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_030.json,329,100,100,27,40,38,38,True,3.7037037037037037,1,97,101,0,11,,,,closed,terminal_safe_episode_closed,False,True,False,3.0,3,2,1.0,False,True,True,2,72,4,5,moderate
case_CL120_EHR_031__anon_5ed720bcc2b857a2,DeepSeek-V3.2,case_CL120_EHR_031__DeepSeek-V3.2,case_CL120_EHR_031,DeepSeek-V3.2,closed_success,8,False,48f2f1ae0d2cf76ccce72adedec2c49e3b0a9505915a1db846d67f1dba3bad09,02dbf859842a8ed587135754726d37969c3538ef745cdf57fb623a98e75a128d,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_031.json,68,8,8,5,18,15,15,True,1.6,1,8,0,9,3,,,,closed,terminal_safe_episode_closed,True,False,False,1.0,1.5,2,0.8660254037844386,True,True,True,1,42,4,6,moderate
case_CL120_EHR_032__anon_12a2963ddf12e518,DeepSeek-V3.2,case_CL120_EHR_032__DeepSeek-V3.2,case_CL120_EHR_032,DeepSeek-V3.2,closed_success,12,False,eeaed3cab391dc3afb77f3088ec668b823ee006876df4915773fae11b20b9a95,39f55bc04815b0084af00b74dfdbbd4bc3c49cebf75401ba28d317e0dfe093c8,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_032.json,79,12,12,7,17,15,15,True,1.7142857142857142,1,12,0,13,7,,,,closed,terminal_safe_episode_closed,True,False,False,1.0,2,4,1.7320508075688772,True,True,True,0,19,3,3,low
case_CL120_EHR_033__anon_b6aaf712e45ca335,DeepSeek-V3.2,case_CL120_EHR_033__DeepSeek-V3.2,case_CL120_EHR_033,DeepSeek-V3.2,closed_success,59,False,ebccdd4361dd516374efe1ff77c15e91f9ae68446f4c872c731f56384ca44eb6,79f6b31311f74c80cd00b12974fd459ef27024f7f650bd622d94af029d02c9a8,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_033.json,212,59,59,16,31,28,28,True,3.6875,1,58,60,0,5,,,,closed,terminal_safe_episode_closed,True,False,False,3.0,3,4,1.5811388300841898,True,True,True,2,69,4,10,high
case_CL120_EHR_034__anon_654f1adb0aa000c1,DeepSeek-V3.2,case_CL120_EHR_034__DeepSeek-V3.2,case_CL120_EHR_034,DeepSeek-V3.2,closed_success,60,False,b5f010be49ecd201dd245385eb8b0ee43ae9346bd9434b796ed19aca4d1293bf,fe8e21a5e5328e1fa0ec61fcacaf5b2eb6b5c17716771cc018947b15a46548ce,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_034.json,295,60,60,24,61,53,54,True,2.5,1,59,0,61,4,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,2.25,4,1.6393596310755,True,True,True,0,65,4,5,moderate
case_CL120_EHR_035__anon_71aaa3b41e9b12e3,DeepSeek-V3.2,case_CL120_EHR_035__DeepSeek-V3.2,case_CL120_EHR_035,DeepSeek-V3.2,closed_success,22,False,9fdc70d0419330bbc267e257519545c4eec32f5d4bcfb7ac6233443232e0810d,f98bae28be40c9e587caac75399fee4b1f93097c2469f1ac1837af6ef4c6b4b1,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_035.json,100,22,22,7,19,16,16,True,3.142857142857143,1,22,0,23,2,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,2.25,4,1.6393596310755,True,True,False,0,30,4,8,high
case_CL120_EHR_036__anon_08123e32b3438ac5,DeepSeek-V3.2,case_CL120_EHR_036__DeepSeek-V3.2,case_CL120_EHR_036,DeepSeek-V3.2,closed_success,20,False,d4fc74153689543a6654b85d4e18c08cb493874a28a3bbfb3018bc5ea5b01f2d,ef46ec673373f5138c13bf438d6ea7c1f093e81d8c95f6d45cda011f237654c4,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_036.json,96,20,20,8,18,16,17,True,2.5,1,19,0,21,4,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,2.25,4,1.6393596310755,True,True,False,0,38,4,5,moderate
case_CL120_EHR_037__anon_36dd3cfd6dbcc7e8,DeepSeek-V3.2,case_CL120_EHR_037__DeepSeek-V3.2,case_CL120_EHR_037,DeepSeek-V3.2,closed_success,37,False,d03c55e7571bf2ee3b8bff2c69781db6026b45ee8d4dfbecae1504ef0c90ce44,264d9f21037a91bfffc667fd6d848073a14f40adc83aa815f13d9a2d061293a3,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_037.json,164,37,37,16,30,29,29,True,2.3125,1,28,38,0,1,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.25,4,1.479019945774904,True,False,False,2,44,4,6,moderate
case_CL120_EHR_038__anon_2ed645a7894b16b2,DeepSeek-V3.2,case_CL120_EHR_038__DeepSeek-V3.2,case_CL120_EHR_038,DeepSeek-V3.2,closed_success,47,False,da14679e38b4bc266c85d0361c5f0151fca1b1b6043be6ab816ff3aabb323bee,49b989b6aea977c88f63831e32cfd3783ec7de43f2338cbe16e59cb73529f83f,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_038.json,181,47,47,17,30,28,28,True,2.764705882352941,1,47,48,0,0,,,,closed,terminal_safe_episode_closed,True,False,False,4.0,3.5,4,1.6583123951777,True,False,False,0,60,4,6,moderate
case_CL120_EHR_039__anon_641a789b8e12f988,DeepSeek-V3.2,case_CL120_EHR_039__DeepSeek-V3.2,case_CL120_EHR_039,DeepSeek-V3.2,closed_success,26,False,a093c99f5d4a5edcba54de176aec029a58f456485535b6f9a9de03f6bc3c9bd2,29dd6c21ddb9104578e88dbf8a737e17262efde9f866a980d029f341a5940b4a,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_039.json,145,26,26,12,32,28,28,True,2.1666666666666665,1,26,0,27,4,,,,closed,terminal_safe_episode_closed,True,False,False,1.0,2,4,1.7320508075688772,True,True,True,0,39,4,2,low
case_CL120_EHR_040__anon_da9908bde08f5e9a,DeepSeek-V3.2,case_CL120_EHR_040__DeepSeek-V3.2,case_CL120_EHR_040,DeepSeek-V3.2,closed_success,15,False,55f1b783d5747cd755be54fffbdcad87867644056d1a346773f3398782349036,6f636fecb3b71c9f424abff6230063bfc3775c44d793ffb77505668970095df9,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_040.json,86,15,15,5,19,16,16,True,3.0,1,10,16,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,5.0,4.25,3,1.299038105676658,False,True,False,0,35,3,3,low
case_CL120_EHR_041__anon_35b44e9a0c0cedcf,DeepSeek-V3.2,case_CL120_EHR_041__DeepSeek-V3.2,case_CL120_EHR_041,DeepSeek-V3.2,closed_success,55,False,4507c45425bd76ae341e578876fa75a685c772bafafd7a4ae57aaddfdfb865b1,f22d8d0ff0ec2603c4dd47d186fc7d904197b778e796597dbf2db69c928907d0,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_041.json,235,55,55,19,44,36,39,True,2.8947368421052633,1,55,56,0,4,,,,closed,terminal_safe_handoff_closed,True,False,False,3.5,3.25,4,1.7853571071357126,True,True,False,0,55,4,8,high
case_CL120_EHR_042__anon_e627441ec3a35195,DeepSeek-V3.2,case_CL120_EHR_042__DeepSeek-V3.2,case_CL120_EHR_042,DeepSeek-V3.2,closed_success,5,False,19adaa1aac8bc91e3ce30c5059f57c8fb35801abd22a672044bc3e4505644871,31fa27b861c86e481ce0dd082f50606e4a49f89e43b1b48061cab0d19088ceff,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_042.json,53,5,5,3,15,12,12,True,1.6666666666666667,1,3,0,6,3,,,,closed,terminal_safe_episode_closed,True,False,False,1.5,2.25,4,1.6393596310755,True,True,True,0,29,3,6,moderate
