case_id,disease_domain,target_problem,starting_phase,friction_intensity,primary_friction,secondary_frictions,tool_dependency,expected_turn_budget_category,high_order_capability_domains,high_order_test_point_count,responsibility_chain_requirement_count,expected_evidence_channel_count,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level
case_CL120_EHR_001,cardiovascular,chest_pain_acs_dissection,longitudinal_followup,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_012,cardiovascular,heart_failure_decompensation,longitudinal_followup,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_013,cardiovascular,atrial_fibrillation_anticoagulation,longitudinal_followup,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,maybe,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_014,cardiovascular,hypertension_urgency,discharge_transition,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,7,8,yes,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_015,respiratory,suspected_pulmonary_embolism_result_and_anticoagulation_followup,result_return,heavy,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,long,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,3,5,5,2,high,2,high,2,high,2,high,2,high,10,high
case_CL120_EHR_016,respiratory,pneumonia,pre_handoff,heavy,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,long,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,False,3,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high
case_CL120_EHR_017,respiratory,lung_nodule_mass,post_handoff,heavy,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,long,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,True,2,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high
case_CL120_EHR_018,respiratory,pulmonary_embolism,post_handoff,extreme,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,extra_long,HO1 | HO2 | HO3 | HO4,4,7,6,no,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high
case_CL120_EHR_019,respiratory,home_oxygen_or_inhaler_execution,post_handoff,light,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate
case_CL120_EHR_020,respiratory,asthma_copd_exacerbation,result_return,light,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,yes,True,2,5,4,2,high,1,moderate,0,low,1,moderate,1,moderate,5,moderate
case_CL120_EHR_021,respiratory,pneumonia,result_return,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,7,6,yes,True,2,5,5,1,moderate,1,moderate,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_022,respiratory,lung_nodule_mass,home_execution_failure,light,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,False,2,5,5,2,high,2,high,0,low,1,moderate,0,low,5,moderate
case_CL120_EHR_023,respiratory,pulmonary_embolism,longitudinal_followup,light,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate
case_CL120_EHR_024,respiratory,home_oxygen_or_inhaler_execution,longitudinal_followup,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_025,respiratory,asthma_copd_exacerbation,discharge_transition,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,8,8,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_026,respiratory,pneumonia,palliative_terminal,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,False,2,6,6,2,high,2,high,1,moderate,1,moderate,2,high,8,high
case_CL120_EHR_027,endocrine_metabolic,diabetes_sick_day,pre_handoff,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,yes,False,3,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_028,endocrine_metabolic,hypoglycemia,post_handoff,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_029,endocrine_metabolic,thyroid_dysfunction,post_handoff,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_030,endocrine_metabolic,steroid_or_insulin_adjustment,post_handoff,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,6,5,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate
case_CL120_EHR_031,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,result_return,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,yes,True,2,4,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_032,endocrine_metabolic,diabetes_sick_day,result_return,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_033,endocrine_metabolic,hypoglycemia,home_execution_failure,heavy,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,long,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,False,2,6,6,2,high,2,high,2,high,2,high,2,high,10,high
case_CL120_EHR_034,endocrine_metabolic,thyroid_dysfunction,longitudinal_followup,heavy,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,long,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_035,endocrine_metabolic,steroid_or_insulin_adjustment,longitudinal_followup,extreme,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,extra_long,HO1 | HO2 | HO3 | HO4,4,7,8,no,True,2,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high
case_CL120_EHR_036,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,discharge_transition,light,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,yes,True,2,5,5,2,high,1,moderate,0,low,1,moderate,1,moderate,5,moderate
case_CL120_EHR_037,endocrine_metabolic,diabetic_foot_wound_and_sick_day_medication_safety,home_execution_failure,light,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,maybe,True,3,5,5,2,high,1,moderate,0,low,1,moderate,2,high,6,moderate
case_CL120_EHR_038,endocrine_metabolic,postoperative_glucose_variability_and_medication_safety,home_execution_failure,light,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,short,HO1 | HO2 | HO3 | HO4,4,8,7,yes,True,3,5,5,2,high,2,high,0,low,0,low,2,high,6,moderate
case_CL120_EHR_039,renal_urology,ckd_med_reconciliation,post_handoff,light,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,5,5,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_040,renal_urology,uti_culture_action,post_handoff,light,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_041,renal_urology,renal_function_abnormality_warning_and_result_followup,result_return,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,True,3,5,5,2,high,2,high,1,moderate,1,moderate,2,high,8,high
case_CL120_EHR_042,renal_urology,stone_colic,result_return,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,yes,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_043,renal_urology,anticoagulation_and_hematuria,home_execution_failure,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,yes,False,2,5,5,2,high,1,moderate,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_044,renal_urology,ckd_med_reconciliation,home_execution_failure,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,yes,False,2,5,5,1,moderate,2,high,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_045,renal_urology,uti_culture_action,longitudinal_followup,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,7,8,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_046,renal_urology,aki_warning,longitudinal_followup,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_047,renal_urology,stone_colic,discharge_transition,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_048,renal_urology,renal_function_electrolyte_and_urine_color_medication_safety,home_execution_failure,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,maybe,True,3,5,5,2,high,1,moderate,1,moderate,1,moderate,2,high,7,high
case_CL120_EHR_049,respiratory,pulmonary_sequestration_interventional_planning_and_cost_barrier,pre_handoff,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,3,5,5,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate
case_CL120_EHR_050,gastro_hepatology,viral_hepatitis_cirrhosis,post_handoff,heavy,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,long,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,2,high,2,high,1,moderate,9,high
case_CL120_EHR_051,gastro_hepatology,abdominal_pain,post_handoff,heavy,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,long,HO1 | HO2 | HO3 | HO4,4,7,6,maybe,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high
case_CL120_EHR_052,gastro_hepatology,pancreatitis,result_return,extreme,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,extra_long,HO1 | HO2 | HO3 | HO4,4,7,6,no,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high
case_CL120_EHR_053,renal_urology,lupus_nephritis_steroid_and_followup_after_negative_covid_result,result_return,light,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,yes,True,3,4,4,2,high,0,low,0,low,1,moderate,2,high,5,moderate
case_CL120_EHR_054,gastro_hepatology,gi_bleeding,home_execution_failure,light,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,yes,False,2,5,5,1,moderate,2,high,0,low,1,moderate,0,low,4,moderate
case_CL120_EHR_055,gastro_hepatology,viral_hepatitis_cirrhosis,home_execution_failure,light,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,False,2,5,5,2,high,2,high,0,low,1,moderate,0,low,5,moderate
case_CL120_EHR_056,gastro_hepatology,abdominal_pain,longitudinal_followup,light,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,True,2,6,6,1,moderate,2,high,0,low,1,moderate,2,high,6,moderate
case_CL120_EHR_057,gastro_hepatology,pancreatitis,discharge_transition,light,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,4,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_058,gastro_hepatology,colonoscopy_or_pathology_followup,discharge_transition,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,yes,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_059,gastro_hepatology,gi_bleeding,pre_handoff,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,False,3,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_060,gastro_hepatology,viral_hepatitis_cirrhosis,pre_handoff,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,False,3,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_061,neurology,stroke_tia,post_handoff,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_062,neurology,limb_numbness_weakness_preoperative_medication_and_followup,pre_handoff,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,3,4,5,0,low,0,low,1,moderate,1,moderate,2,high,4,moderate
case_CL120_EHR_063,neurology,headache_red_flag,result_return,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,9,5,yes,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_064,neurology,dementia_delirium,result_return,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_065,neurology,neuropathy_or_fall,home_execution_failure,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,yes,False,2,5,5,1,moderate,2,high,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_066,neurology,stroke_tia,home_execution_failure,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,yes,False,2,5,5,2,high,0,low,1,moderate,1,moderate,0,low,4,moderate
case_CL120_EHR_067,neurology,seizure,longitudinal_followup,heavy,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,long,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,2,high,2,high,1,moderate,9,high
case_CL120_EHR_068,neurology,headache_red_flag,discharge_transition,heavy,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,long,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_069,neurology,dementia_delirium,discharge_transition,extreme,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,extra_long,HO1 | HO2 | HO3 | HO4,4,7,5,no,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_070,neurology,neuropathy_or_fall,pre_handoff,light,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,short,HO1 | HO2 | HO3 | HO4,4,6,5,yes,False,3,5,5,0,low,0,low,0,low,0,low,1,moderate,1,low
case_CL120_EHR_071,obstetrics_gynecology,pregnancy_med_safety,pre_handoff,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,short,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,3,5,5,1,moderate,0,low,0,low,0,low,1,moderate,2,low
case_CL120_EHR_072,obstetrics_gynecology,ectopic_or_bleeding,post_handoff,light,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_073,obstetrics_gynecology,postpartum_warning,post_handoff,light,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_074,obstetrics_gynecology,gynecologic_mass_pathway,result_return,light,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_075,obstetrics_gynecology,pregnancy_med_safety,result_return,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_076,obstetrics_gynecology,ectopic_or_bleeding,home_execution_failure,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,False,2,5,5,0,low,0,low,1,moderate,1,moderate,0,low,2,low
case_CL120_EHR_077,obstetrics_gynecology,postpartum_warning,home_execution_failure,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,2,4,4,1,moderate,0,low,1,moderate,1,moderate,0,low,3,low
case_CL120_EHR_078,obstetrics_gynecology,gynecologic_mass_pathway,longitudinal_followup,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_079,pediatrics,fever_dehydration,discharge_transition,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_080,pediatrics,type1_diabetes_vomiting,discharge_transition,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,yes,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_081,pediatrics,short_stature_growth_hormone_deficiency_and_scoliosis_followup,discharge_transition,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,3,5,5,0,low,0,low,1,moderate,1,moderate,2,high,4,moderate
case_CL120_EHR_082,pediatrics,caregiver_medication_error,pre_handoff,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,3,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_083,pediatrics,fever_dehydration,post_handoff,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,maybe,True,2,4,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_084,pediatrics,type1_diabetes_vomiting,post_handoff,heavy,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,long,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_085,pediatrics,asthma_child,result_return,heavy,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,long,HO1 | HO2 | HO3 | HO4,4,5,5,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_086,pediatrics,caregiver_medication_error,result_return,heavy,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,long,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,4,4,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_087,oncology_hematology,new_mass_staging,home_execution_failure,light,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,2,5,5,1,moderate,0,low,0,low,1,moderate,0,low,2,low
